,0,1,2,3,4
0,"""Firefly""","""Other Mama""","""Spago by Wolfgang Puck""","""Pop Up Pizza""","""Due Forni"""
1,"""Musashi Japanese Steakhouse""","""Le Robin Square""","""Modern  Grove""","""Barrio Queen""","""Island Sushi & Grill"""
2,"""DOMA""","""Izakaya Go""","""Kaiju""","""Cactus Club Cafe""","""Salt Cellar"""
3,"""Makai Pacific Island Grill""","""Eiffel Tower""","""Living Kitchen""","""Ahipoki Bowl""","""Ohana Hawaiian BBQ"""
4,"""AMC Dine-in Theatres Esplanade 14""","""Archi's Thai Cafe""","""Yummy Grill & Sushi""","""Yama Sushi""","""Cactus Club Cafe"""
5,"""Blue Adobe Grille""","""Las Palmas""","""Blaze Fast-Fire'd Pizza""","""Poke Guys""","""Dumpling House Restaurant"""
6,"""Dumpling House Restaurant""","""Kaiju""","""Poke Guys""","""Adamson Barbecue""","""Blaze Fast-Fire'd Pizza"""
7,"""Liberty Market""","""Frost Gelato""","""School Restaurant""","""Bannock""","""Angelo's Pizza"""
8,"""Hoosier Cafe""","""Blaze Fast-Fire'd Pizza""","""M&M Soul Food Cafe""","""Soho Japanese Restaurant""","""Beckett's Table"""
9,"""Tommy V's Urban Kitchen & Bar""","""Other Mama""","""Kid Cashew""","""Sinatra""","""Lucky's Café"""
10,"""Barrio""","""Joyride Taco House""","""Craft 64""","""Ocotillo""","""OHSO Brewery - Paradise Valley"""
11,"""Soho Japanese Restaurant""","""The Barrymore""","""Other Mama""","""Butterfield's Pancake House""","""Tacos & Beer"""
12,"""Sushi Kaji Restaurant""","""Poke Guys""","""DW Bistro""","""Postino Arcadia""","""Angelo's Pizza"""
13,"""Poke Guys""","""Ku Noodle by José Andrés""","""Blaze Fast-Fire'd Pizza""","""Petite Maison""","""Postino Arcadia"""
14,"""DW Bistro""","""Barrio""","""The Barrymore""","""Lucky's Café""","""Burrito Boyz"""
15,"""Thirsty Lion Gastropub & Grill""","""Javier's""","""Andre's""","""Island Sushi & Grill""","""Postino Arcadia"""
16,"""Toqué""","""Butterfield's Pancake House""","""Le Robin Square""","""Kai""","""Pastel Creperies & Dessert House"""
17,"""Lucky's Café""","""Dumpling House Restaurant""","""Ahipoki Bowl""","""Spago by Wolfgang Puck""","""Chon Thai Food"""
18,"""Kabuki Japanese Restaurant""","""Ahipoki Bowl""","""Blue Adobe Grille""","""Raising Cane's""","""Cibo"""
19,"""Adamson Barbecue""","""Cheba Hut""","""Veggie Village""","""Burrito Boyz""","""DW Bistro"""
20,"""Fat Heads Brewery and Saloon""","""Postino Arcadia""","""NextDoor""","""Blaze Fast-Fire'd Pizza""","""Dumpling House Restaurant"""
21,"""Ahipoki Bowl""","""BLT Burger""","""Burrito Boyz""","""Fat Heads Brewery and Saloon""","""Bannock"""
22,"""Adamson Barbecue""","""Poke Guys""","""Pizza-Pide""","""Sunrise House""","""Postino Arcadia"""
23,"""Alexander Michael's""","""Dumpling House Restaurant""","""Angelo's Pizza""","""Caribbean Spice""","""Yupha's Thai Kitchen"""
24,"""Ku Noodle by José Andrés""","""Postino Arcadia""","""Butterfield's Pancake House""","""Delices Gourmands French Bakery""","""Tacos & Beer"""
25,"""Niccoli's Italian Grocery & Deli""","""Adamson Barbecue""","""Peg's Glorified Ham n Eggs""","""ShinBay""","""Kaiju"""
26,"""Cactus Club Cafe""","""Rolling in Dough Cafe""","""Spago by Wolfgang Puck""","""M&M Soul Food Cafe""","""Firefly"""
27,"""Downtown Terrace""","""Butterfield's Pancake House""","""Grand Lux Cafe""","""Makai Pacific Island Grill""","""Hobak Korean BBQ"""
28,"""Butterfield's Pancake House""","""Hobak Korean BBQ""","""Yummy Grill & Sushi""","""Izakaya Go""","""Gyu-Kaku Japanese BBQ"""
29,"""Joe's Midnight Run""","""Beckett's Table""","""Pho Saigon 8""","""Guy Fieri's Vegas Kitchen & Bar""","""Paymon's Mediterranean Cafe & Lounge"""
30,"""The Harbord Room""","""Other Mama""","""Hobak Korean BBQ""","""Butterfield's Pancake House""","""Yummy Grill & Sushi"""
31,"""The Herb Box""","""Blaze Fast-Fire'd Pizza""","""Au Pain Doré""","""Ahipoki Bowl""","""Liberty Market"""
32,"""Sonora Mesquite Grill""","""Due Forni""","""Fukuburger Truck""","""DW Bistro""","""Other Mama"""
33,"""Adamson Barbecue""","""The Fry Bread House""","""Omelet House""","""Raising Cane's""","""Z'Tejas"""
34,"""Dumpling House Restaurant""","""Chon Thai Food""","""Lucky's Café""","""Andre's""","""Umiya Sushi"""
35,"""Kai""","""Butterfield's Pancake House""","""Omelet House""","""Buon Gusto Ristorante""","""Thai Room"""
36,"""Asi Es Mi Tierra""","""Liberty Market""","""Pa Pa Chang's""","""Le Robin Square""","""Blaze Fast-Fire'd Pizza"""
37,"""Chang's Hong Kong Cuisine""","""Javier's""","""Firefly""","""Rolling in Dough Cafe""","""Spago by Wolfgang Puck"""
38,"""Soho Japanese Restaurant""","""Frost Gelato""","""Paymon's Mediterranean Cafe & Lounge""","""Petite Maison""","""Liberty Market"""
39,"""Lina's Mexican Restaurant""","""Le Robin Square""","""Futo Buta""","""Umiya Sushi""","""Butterfield's Pancake House"""
40,"""Kaiju""","""Blue Adobe Grille""","""Poke Guys""","""Cibo""","""Blaze Fast-Fire'd Pizza"""
41,"""Sidecar""","""Lucky's Café""","""Eiffel Tower""","""Ahipoki Bowl""","""BARDOT Brasserie"""
42,"""Postino Arcadia""","""DW Bistro""","""Barrio""","""Joyride Taco House""","""Burrito Boyz"""
43,"""Beckett's Table""","""Cafe Breizh""","""Joe Beef""","""Butterfield's Pancake House""","""Cartel Coffee Lab"""
44,"""Broadway Pizzeria""","""Due Forni""","""Hobak Korean BBQ""","""Frost Gelato""","""Viet Bistro"""
45,"""KINKA IZAKAYA MONTREAL""","""Sushi Kaji Restaurant""","""Angelo's Pizza""","""N9NE Steakhouse""","""Postino Arcadia"""
46,"""Sorso Wine Room""","""Yupha's Thai Kitchen""","""Pita Jungle""","""Frost Gelato""","""Liberty Market"""
47,"""The Fry Bread House""","""Naked Fish's Sushi & Grill""","""Eiffel Tower""","""Great Harvest Bread""","""Firefly"""
48,"""Salt Cellar""","""Le Robin Square""","""Poke Guys""","""Blaze Fast-Fire'd Pizza""","""Kaiju"""
49,"""Island Sushi & Grill""","""Chon Thai Food""","""Le Robin Square""","""Cactus Club Cafe""","""Lucky's Café"""
50,"""Curry Twist Restaurant""","""Burrito Boyz""","""Liberty Market""","""Lola Coffee""","""Cibo"""
51,"""Adamson Barbecue""","""Blaze Fast-Fire'd Pizza""","""Other Mama""","""Fukuburger Truck""","""BARDOT Brasserie"""
52,"""Yui Edomae Sushi""","""Mi Peru South American Grill""","""Chon Thai Food""","""Lucky's Café""","""The Fry Bread House"""
53,"""Shangri-La Hotel""","""Adamson Barbecue""","""Kaiju""","""Papi Queso""","""Angelo's Pizza"""
54,"""Cafe Breizh""","""Barrio Queen""","""Cartel Coffee Lab""","""Ahipoki Bowl""","""Joe Beef"""
55,"""Liberty Market""","""Salt Cellar""","""Adamson Barbecue""","""Ahipoki Bowl""","""Le Majestique"""
56,"""Yupha's Thai Kitchen""","""Big Bone BBQ & Wicked Wings""","""Wendigo""","""Charleston's""","""Naples 15"""
57,"""Raising Cane's""","""Kaiju""","""Frost Gelato""","""Gyros Plus""","""Liberty Market"""
58,"""The Shore Club - Toronto""","""Momofuku Daish?""","""PAT Central Market""","""Chilli Chicken House""","""Cibo"""
59,"""Pinches Tacos""","""Hoosier Cafe""","""Butterfield's Pancake House""","""Hobak Korean BBQ""","""Downtown Terrace"""
60,"""Downtown Terrace""","""Soho Japanese Restaurant""","""Blaze Fast-Fire'd Pizza""","""Hugo's Cellar""","""Butterfield's Pancake House"""
61,"""Breakfast Club- CityScape""","""Kaiju""","""Pastel Creperies & Dessert House""","""Cibo""","""Blaze Fast-Fire'd Pizza"""
62,"""Ahipoki Bowl""","""Ohana Hawaiian BBQ""","""Bannock""","""Tups Specialty Sandwiches""","""Burrito Boyz"""
63,"""Gordon Biersch Brewery Restaurant""","""Soho Japanese Restaurant""","""Cibo""","""Tommy's Restaurant""","""L'Atelier de Joël Robuchon"""
64,"""Viet Bistro""","""Postino Arcadia""","""Hobak Korean BBQ""","""Other Mama""","""Butterfield's Pancake House"""
65,"""Nota Bene""","""Richardson's""","""Blaze Fast-Fire'd Pizza""","""L'Atelier de Joël Robuchon""","""Sidecar"""
66,"""The Carbon Bar""","""Lucky's Café""","""Kaiju""","""BARDOT Brasserie""","""Deagan's Kitchen & Bar"""
67,"""Miller's Ale House - Henderson""","""Cactus Club Cafe""","""Archi's Thai Cafe""","""Butterfield's Pancake House""","""The Barrymore"""
68,"""Lucky's Café""","""Tommy's Restaurant""","""Paymon's Mediterranean Cafe & Lounge""","""Chompie's Deli""","""East Coast Eats"""
69,"""Other Mama""","""Fukuburger Truck""","""Due Forni""","""Hobak Korean BBQ""","""Makai Pacific Island Grill"""
70,"""China Magic Noodle House""","""Blaze Fast-Fire'd Pizza""","""Deagan's Kitchen & Bar""","""Cibo""","""Blue Adobe Grille"""
71,"""Butterfield's Pancake House""","""Hobak Korean BBQ""","""Other Mama""","""Due Forni""","""Viet Bistro"""
72,"""DW Bistro""","""Island Sushi & Grill""","""Postino Arcadia""","""Sunrise House""","""Carmen"""
73,"""Fat Heads Brewery and Saloon""","""Mert's Heart & Soul""","""Adamson Barbecue""","""Poke Guys""","""Kaiju"""
74,"""Liberty Market""","""The County General""","""Cibo""","""Lola Coffee""","""Bolet's Burrito"""
75,"""Other Mama""","""Ventano Italian Grill & Seafood""","""Rolling in Dough Cafe""","""Soho Japanese Restaurant""","""Grand Lux Cafe"""
76,"""Salad King Restaurant""","""Island Sushi & Grill""","""Zen Japanese Restaurant""","""The Shore Club - Toronto""","""Bavarian Point Restaurant"""
77,"""Hugo's Cellar""","""Yama Sushi""","""The Barrymore""","""Kona Grill""","""DW Bistro"""
78,"""Grand Lux Cafe""","""Taqueria Mi Casita""","""Ocotillo""","""Salt Cellar""","""Craft 64"""
79,"""Due Forni""","""Grand Lux Cafe""","""Ahipoki Bowl""","""Makai Pacific Island Grill""","""Adamson Barbecue"""
80,"""Firefly""","""Yupha's Thai Kitchen""","""Ocotillo""","""Spago by Wolfgang Puck""","""Guy Fieri's Vegas Kitchen & Bar"""
81,"""Dumpling House Restaurant""","""Bannock""","""Cartel Coffee Lab""","""Burrito Boyz""","""Fat Heads Brewery and Saloon"""
82,"""Sidecar""","""Javier's""","""Other Mama""","""Guy Savoy""","""L'Atelier de Joël Robuchon"""
83,"""Sushi Kaji Restaurant""","""Kai""","""L'Atelier de Joël Robuchon""","""Chilli Chicken House""","""Pastel Creperies & Dessert House"""
84,"""Burrito Boyz""","""M&M Soul Food Cafe""","""Swensons Drive-In""","""Cibo""","""Deagan's Kitchen & Bar"""
85,"""Makai Pacific Island Grill""","""Cartel Coffee Lab""","""Soho Japanese Restaurant""","""Other Mama""","""Fukuburger Truck"""
86,"""Malabar""","""Lucky's Café""","""Yummy Grill & Sushi""","""The Barrymore""","""Futo Buta"""
87,"""Tommy V's Urban Kitchen & Bar""","""Kabuki Japanese Restaurant""","""Liberty Market""","""Cibo""","""Blue Adobe Grille"""
88,"""Beckett's Table""","""China Magic Noodle House""","""Blue Adobe Grille""","""Cibo""","""Deagan's Kitchen & Bar"""
89,"""Ahipoki Bowl""","""The Hummus Factory""","""Hobak Korean BBQ""","""Cibo""","""Broadway Pizzeria"""
90,"""Musashi Japanese Steakhouse""","""Postino Arcadia""","""Other Mama""","""Fat Heads Brewery and Saloon""","""Sonora Mesquite Grill"""
91,"""Tommy's Restaurant""","""OHSO Brewery - Paradise Valley""","""Liberty Market""","""Hoosier Cafe""","""Postino Arcadia"""
92,"""Ocotillo""","""Makai Pacific Island Grill""","""Barrio""","""DW Bistro""","""Grand Lux Cafe"""
93,"""Lucky's Café""","""Beckett's Table""","""Green Lemon Grass""","""Chon Thai Food""","""Cartel Coffee Lab"""
94,"""Cibo""","""Poke Guys""","""Blaze Fast-Fire'd Pizza""","""Sushi Kaji Restaurant""","""Postino Arcadia"""
95,"""Nee House Chinese Restaurant""","""Sunrise House""","""Izakaya Go""","""Babbo Italian Eatery""","""Umiya Sushi"""
96,"""Burrito Boyz""","""Blaze Fast-Fire'd Pizza""","""Poke Guys""","""Yupha's Thai Kitchen""","""Big Bone BBQ & Wicked Wings"""
97,"""Yanni's Gyros""","""Grand Lux Cafe""","""Johnson Public House""","""Island Sushi & Grill""","""Postino Arcadia"""
98,"""Kaiju""","""Naked Fish's Sushi & Grill""","""Firefly""","""Blaze Fast-Fire'd Pizza""","""Altius"""
99,"""Dumpling House Restaurant""","""Pita Jungle""","""Petite Maison""","""Pizza Brutta""","""FnB"""
100,"""Barrio Queen""","""Cafe Breizh""","""Ni Ji Sushi""","""Cartel Coffee Lab""","""Paymon's Mediterranean Cafe & Lounge"""
101,"""Bannock""","""Frost Gelato""","""School Restaurant""","""N9NE Steakhouse""","""Angelo's Pizza"""
102,"""Sidecar""","""Nobuo At Teeter House""","""The County General""","""Blaze Fast-Fire'd Pizza""","""BARDOT Brasserie"""
103,"""Downtown Terrace""","""Richardson's""","""Graze""","""Fukuburger Truck""","""Postino Arcadia"""
104,"""Blaze Fast-Fire'd Pizza""","""Bannock""","""Umiya Sushi""","""School Restaurant""","""Lola Coffee"""
105,"""Chon Thai Food""","""Olive Tree Market & Grill""","""Tommy V's Urban Kitchen & Bar""","""Kaiju""","""Blaze Fast-Fire'd Pizza"""
